Yillar,Erkek ve 0-4,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 5-9,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadın ve 0-4,Kadın ve 10-14,Kadın ve 15-19,Kadın ve 20-24,Kadın ve 25-29,Kadın ve 30-34,Kadın ve 35-39,Kadın ve 40-44,Kadın ve 45-49,Kadın ve 50-54,Kadın ve 55-59,Kadın ve 5-9,Kadın ve 60-64,Kadın ve 65-69,Kadın ve 70-74,Kadın ve 75-79,Kadın ve 80-84,Kadın ve 85-89,Kadın ve 90+
2009,3161153,3336975,3197293,3204748,3306767,2998464,2764856,2379230,2241542,1878374,1461936,3183784,1124584,803062,586824,516617,228954,70842,16465,2994168,3165391,3037327,3075369,3202093,2912568,2740457,2296915,2228411,1847369,1483667,3017863,1236594,920652,736844,629315,382749,140725,50365
2010,3173092,3369995,3219221,3200959,3275153,3146214,2798870,2344747,2358913,1871231,1614971,3148210,1190577,848726,633016,502175,245975,83179,17958,3005631,3198746,3058086,3066828,3162769,3063753,2767247,2249976,2341378,1835058,1649342,2982908,1301377,958566,787768,615872,418326,161183,54992
2011,3184160,3386882,3240196,3173618,3210343,3285387,2837182,2430841,2405435,1909912,1716102,3123697,1231274,876489,649739,497023,260355,94160,20159,3015664,3215723,3077387,3050973,3095890,3210247,2795560,2339933,2380649,1882524,1738313,2960449,1335213,991686,801629,621287,428485,190434,59269
2012,3182650,3334509,3286864,3151253,3185423,3307333,2890170,2565499,2368340,2029218,1727004,3161223,1292769,899831,671942,484634,289054,105608,22844,3016307,3164749,3118688,3034836,3085255,3237594,2841007,2498561,2331081,2009980,1751578,2997741,1375749,1028555,828184,617492,456612,210382,66865
2013,3187259,3269578,3327238,3166104,3189167,3305734,2946289,2673800,2389852,2123029,1769399,3218411,1346426,950337,674943,461225,335943,112700,25926,3019156,3102587,3150484,3047920,3097165,3237935,2879860,2634460,2331911,2109763,1785786,3052823,1414034,1095061,832785,616070,484663,228962,73079
2014,3231903,3209897,3349081,3191641,3179412,3294389,2996001,2766305,2375494,2218311,1828486,3241355,1402604,1030716,699604,465081,353906,119892,30224,3062630,3042372,3169840,3071819,3093790,3221905,2922335,2744032,2298768,2220111,1828077,3074273,1468111,1184988,857631,639097,486504,240266,85053
2015,3275520,3166860,3382363,3224168,3178350,3252171,3134041,2788425,2337087,2317534,1843354,3252811,1515065,1100734,737892,501411,339904,128879,34622,3105996,3000125,3203137,3089999,3084899,3175979,3069282,2764155,2252992,2315375,1837816,3084908,1593402,1255651,888292,682335,470584,261571,93364
2016,3314542,3147133,3400443,3247764,3169360,3196645,3275175,2833655,2412875,2381640,1855171,3253345,1636510,1132464,763121,512607,336206,136238,38756,3144753,2981910,3222876,3117959,3076681,3113766,3219158,2800662,2335639,2374604,1860565,3084099,1706438,1280073,917371,689443,473119,265520,106585
2017,3326591,3188333,3351043,3294336,3163889,3189075,3308413,2891799,2556364,2349139,1977328,3254177,1651215,1188986,784614,533757,330240,152317,43519,3155258,3022537,3175544,3162174,3067653,3107849,3252283,2849020,2498790,2326316,1989399,3086592,1720023,1322918,952653,715428,471436,282516,117001
2018,3327780,3254277,3299449,3347297,3190023,3205205,3316603,2953329,2670183,2372182,2076882,3264508,1692130,1245979,835353,539825,318882,182957,47136,3157206,3086146,3124818,3199832,3086446,3127948,3259469,2892697,2640524,2329142,2095459,3094412,1753731,1366228,1021569,722725,474854,302957,127739
2019,3254719,3288207,3254891,3392374,3240657,3221381,3324759,3016898,2772838,2367577,2178454,3316621,1754500,1301371,907850,560695,323732,192938,50674,3090417,3117963,3076703,3231704,3126654,3141636,3260084,2950486,2760721,2307796,2211543,3144418,1800269,1421301,1109063,747604,493998,304472,137029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
